Experiment ID                :  scatter
Problem Type                 :  PS
Data Input File Name         :  NA
Number of Runs               :  2
Generations per Run          :  200
Population Size              :  100
Selection Method             :  1
Fitness Scaling Type         :  1
Min or Max Fitness           :  min
Crossover Type               :  1
Crossover Rate               :  0.4
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75982
Number of Genes/Points       :  48
Size of Genes                :  1


 R   2 G  20###########  681823.74   1519.471
 R   2 G  21########### 681948.921   1691.942
 R   2 G  22########### 682000.693   1822.875
 R   2 G  23########### 681979.592   1881.892
 R   2 G  24########### 681919.872   1771.417
 R   2 G  25########### 681967.752   1755.641
 R   2 G  26###########   682112.9   1786.162
 R   2 G  27########### 681883.489    1633.72
 R   2 G  28########### 681929.623   1481.869
 R   2 G  29########### 682123.572    1561.74
 R   2 G  30########### 681892.614     1445.3
 R   2 G  31########### 682173.341   1571.493
 R   2 G  32########### 682070.094   1485.684
 R   2 G  33########### 682304.274   1544.677
 R   2 G  34########### 682121.433   1495.117
 R   2 G  35########### 682379.495   1726.673
 R   2 G  36########### 682229.438   1708.611
 R   2 G  37########### 682098.312   1750.369
 R   2 G  38########### 682229.695    1878.92
 R   2 G  39########### 682436.218   1841.403
 R   2 G  40########### 682607.859   1802.626
 R   2 G  41########### 682481.791   1682.622
 R   2 G  42########### 682586.199   1669.696
 R   2 G  43########### 682877.976   1829.055
 R   2 G  44########### 682809.436   1778.214
 R   2 G  45########### 682813.951   1775.407
 R   2 G  46########### 683006.198   1820.716
 R   2 G  47########### 683065.576   1766.883
 R   2 G  48########### 682948.799   1803.739
 R   2 G  49########### 682969.337   1795.934
 R   2 G  50########### 682944.096   1766.044
 R   2 G  51########### 682958.325     1789.8
 R   2 G  52########### 683097.747    1821.26
 R   2 G  53########### 683146.246    1862.52
 R   2 G  54########### 683270.943   1866.136
 R   2 G  55########### 683194.672   1818.349
 R   2 G  56########### 683171.414   1804.247
 R   2 G  57########### 683141.659   1781.052
 R   2 G  58########### 683475.191   1891.429
 R   2 G  59########### 683353.026    1886.11
 R   2 G  60########### 683770.625   1966.688
 R   2 G  61########### 683605.161   1979.398
 R   2 G  62########### 683557.347   1982.009
 R   2 G  63########### 683349.882   1951.313
 R   2 G  64########### 683320.127   1932.664
 R   2 G  65########### 683176.687   1915.663
 R   2 G  66########### 683219.985   1926.113
 R   2 G  67########### 683488.808   1959.344
 R   2 G  68########### 683726.028   1987.803
 R   2 G  69########### 683764.813   1990.512
 R   2 G  70###########  683988.49   2001.126
 R   2 G  71########### 683983.975   2006.288
 R   2 G  72########### 683781.024   2016.053
 R   2 G  73########### 683883.834   2033.276
 R   2 G  74########### 684070.573   1990.091
 R   2 G  75########### 683824.323   2012.897
 R   2 G  76########### 683566.376   1973.506
 R   2 G  77########### 683212.803   1887.333
 R   2 G  78########### 683057.665   1824.189
 R   2 G  79########### 683178.533    1869.41
 R   2 G  80########### 683112.661   1874.842
 R   2 G  81########### 683151.446   1890.468
 R   2 G  82########### 683000.823   1818.956
 R   2 G  83########### 682879.955   1760.165
 R   2 G  84########### 682617.494   1567.566
 R   2 G  85########### 682683.366    1582.03
 R   2 G  86########### 682886.316   1706.921
 R   2 G  87########### 683002.669   1770.363
 R   2 G  88########### 683395.027    1912.26
 R   2 G  89########### 683390.513   1916.249
 R   2 G  90########### 683782.871   1971.584
 R   2 G  91########### 684024.606   1958.962
 R   2 G  92########### 684145.473   1941.251
 R   2 G  93########### 684416.964   1884.159
 R   2 G  94########### 684610.886   1817.385
 R   2 G  95########### 684804.807   1726.195
 R   2 G  96########### 684770.537   1738.573
 R   2 G  97########### 685042.028   1568.887
 R   2 G  98########### 685046.542   1559.189
 R   2 G  99########### 685162.895   1464.206
 R   2 G 100########### 685162.895   1464.206
 R   2 G 101########### 685318.033   1310.902
 R   2 G 102########### 685434.386   1169.392
 R   2 G 103########### 685240.464   1391.855
 R   2 G 104########### 685046.542   1559.189
 R   2 G 105########### 685046.542   1559.189
 R   2 G 106########### 685046.542   1559.189
 R   2 G 107########### 685085.327   1529.178
 R   2 G 108########### 684968.974   1614.721
 R   2 G 109########### 685007.758   1587.676
 R   2 G 110########### 684891.405   1664.758
 R   2 G 111########### 684658.699   1786.276
 R   2 G 112########### 684697.483   1768.752
 R   2 G 113########### 684503.562   1846.504
 R   2 G 114########### 684232.071   1917.153
 R   2 G 115########### 684154.503   1929.792
 R   2 G 116########### 684076.934   1939.217
 R   2 G 117########### 684076.934   1939.217
 R   2 G 118########### 683727.875    1942.74
 R   2 G 119########### 683921.796   1948.597
 R   2 G 120########### 684193.287   1923.878
 R   2 G 121########### 684193.287   1923.878
 R   2 G 122########### 684193.287   1923.878
